qid,Len,Den,P5,P4
Q2,Box 1,archival storage box,Q671,Q673
Q674,Box 2,archival storage box,Q671,Q673
Q675,Box 3,archival storage box,Q671,Q673
Q676,Box 4,archival storage box,Q671,Q673
Q677,Box 5,archival storage box,Q671,Q673
Q678,Box 6,archival storage box,Q671,Q673
Q679,Oversize-folder 1,archival storage folder,Q671,Q673
Q680,Oversize-folder 2,archival storage folder,Q671,Q673
Q681,Oversize-folder 3,archival storage folder,Q671,Q673
Q682,Oversize-folder 4,archival storage folder,Q671,Q673
Q683,Oversize-folder 5,archival storage folder,Q671,Q673
Q684,Oversize-folder 6,archival storage folder,Q671,Q673
Q685,Oversize-folder 7,archival storage folder,Q671,Q673
Q686,Oversize-folder 8,archival storage folder,Q671,Q673
Q687,Oversize-folder 9,archival storage folder,Q671,Q673
Q688,Oversize-folder 10,archival storage folder,Q671,Q673
Q689,Oversize-folder 11,archival storage folder,Q671,Q673
Q690,Oversize-folder 12,archival storage folder,Q671,Q673
Q691,Oversize-folder 14,archival storage folder,Q671,Q673
Q692,Oversize-folder 15,archival storage folder,Q671,Q673
Q693,Oversize-folder 16,archival storage folder,Q671,Q673
Q694,Oversize-folder 17,archival storage folder,Q671,Q673
Q695,Oversize-folder 18,archival storage folder,Q671,Q673
Q696,Oversize-folder 19,archival storage folder,Q671,Q673
Q697,Oversize-folder 20,archival storage folder,Q671,Q673
Q698,Oversize-folder 21,archival storage folder,Q671,Q673
Q699,Oversize-folder 22,archival storage folder,Q671,Q673
Q700,Oversize-folder 23,archival storage folder,Q671,Q673
Q701,Oversize-folder 24,archival storage folder,Q671,Q673
Q702,Oversize-folder 25,archival storage folder,Q671,Q673
Q703,Oversize-folder 26,archival storage folder,Q671,Q673
Q704,Oversize-folder 27,archival storage folder,Q671,Q673
Q705,Oversize-folder 28,archival storage folder,Q671,Q673
Q706,Oversize-folder 29,archival storage folder,Q671,Q673
Q707,Oversize-folder 30,archival storage folder,Q671,Q673
Q708,Oversize-folder 31,archival storage folder,Q671,Q673
Q709,Oversize-folder 32,archival storage folder,Q671,Q673
Q710,Oversize-folder 33,archival storage folder,Q671,Q673
Q711,Tube 1,archival storage tube,Q671,Q673
